sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,size_category,build_category,proportions_category,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_size_category,weighted_build_category,weighted_proportions_category,cluster
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich 2,165 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.173076923076923,0.3151515151515151,,,,,,,2.0,1.0,4.0,165.0,52.0,28.650137741046837,6.346153846153846,0.47272727272727266,,,,2.0,1.0,4.0,1
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe 2,170 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.1481481481481484,0.3176470588235294,,,,,,,3.0,1.0,4.0,170.0,54.0,28.02768166089966,6.296296296296297,0.4764705882352941,,,,3.0,1.0,4.0,1
distance_running,164.0,48.0,17.846519928613922,DISTANCE RUNNER,Catherine Ndereba,164 cm,48 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.4166666666666665,0.2926829268292683,,,,,,,2.0,1.0,4.0,164.0,48.0,26.769779892920884,6.833333333333333,0.4390243902439024,,,,2.0,1.0,4.0,1
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Deena Kastor,157 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3404255319148937,0.29936305732484075,,,,,,,1.0,1.0,4.0,157.0,47.0,28.60156598644975,6.680851063829787,0.44904458598726116,,,,1.0,1.0,4.0,1
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich,165 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.173076923076923,0.3151515151515151,,,,,,,2.0,1.0,4.0,165.0,52.0,28.650137741046837,6.346153846153846,0.47272727272727266,,,,2.0,1.0,4.0,1
distance_running,158.0,47.0,18.82711103989745,DISTANCE RUNNER,Mary Keitany,158 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3617021276595747,0.2974683544303797,,,,,,,1.0,1.0,4.0,158.0,47.0,28.240666559846176,6.723404255319149,0.44620253164556956,,,,1.0,1.0,4.0,1
distance_running,160.0,48.0,18.749999999999996,DISTANCE RUNNER,Brigid Kosgei,160 cm,48 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3333333333333335,0.3,,,,,,,1.0,1.0,4.0,160.0,48.0,28.124999999999993,6.666666666666667,0.44999999999999996,,,,1.0,1.0,4.0,1
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe,170 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.1481481481481484,0.3176470588235294,,,,,,,3.0,1.0,4.0,170.0,54.0,28.02768166089966,6.296296296296297,0.4764705882352941,,,,3.0,1.0,4.0,1
distance_running,160.0,45.0,17.578124999999996,DISTANCE RUNNER,Yalemzerf Yehualaw,160 cm,45 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.5555555555555554,0.28125,,,,,,,1.0,1.0,4.0,160.0,45.0,26.367187499999993,7.111111111111111,0.421875,,,,1.0,1.0,4.0,1
distance_running,165.0,50.0,18.36547291092746,DISTANCE RUNNER,Sifan Hassan,165 cm,50 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3,0.30303030303030304,,,,,,,2.0,1.0,4.0,165.0,50.0,27.548209366391188,6.6,0.4545454545454546,,,,2.0,1.0,4.0,1
