sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,bmi_category,size_archetype,build_archetype,composition_archetype,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,cluster
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich 2,165 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.173076923076923,0.3151515151515151,,,,,,,normal,medium,very_lean,lean,247.5,62.4,34.380165289256205,4.759615384615384,0.47272727272727266,,,,1
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe 2,170 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.1481481481481484,0.3176470588235294,,,,,,,normal,medium,very_lean,lean,255.0,64.8,33.63321799307959,4.722222222222222,0.4764705882352941,,,,1
distance_running,164.0,48.0,17.846519928613922,DISTANCE RUNNER,Catherine Ndereba,164 cm,48 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.4166666666666665,0.2926829268292683,,,,,,,underweight,medium,very_lean,lean,246.0,57.599999999999994,32.12373587150506,5.125,0.4390243902439024,,,,1
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Deena Kastor,157 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3404255319148937,0.29936305732484075,,,,,,,normal,short,very_lean,lean,235.5,56.4,34.3218791837397,5.01063829787234,0.44904458598726116,,,,1
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich,165 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.173076923076923,0.3151515151515151,,,,,,,normal,medium,very_lean,lean,247.5,62.4,34.380165289256205,4.759615384615384,0.47272727272727266,,,,1
distance_running,158.0,47.0,18.82711103989745,DISTANCE RUNNER,Mary Keitany,158 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3617021276595747,0.2974683544303797,,,,,,,normal,short,very_lean,lean,237.0,56.4,33.88879987181541,5.042553191489362,0.44620253164556956,,,,1
distance_running,160.0,48.0,18.749999999999996,DISTANCE RUNNER,Brigid Kosgei,160 cm,48 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3333333333333335,0.3,,,,,,,normal,short,very_lean,lean,240.0,57.599999999999994,33.74999999999999,5.0,0.44999999999999996,,,,1
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe,170 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.1481481481481484,0.3176470588235294,,,,,,,normal,medium,very_lean,lean,255.0,64.8,33.63321799307959,4.722222222222222,0.4764705882352941,,,,1
distance_running,160.0,45.0,17.578124999999996,DISTANCE RUNNER,Yalemzerf Yehualaw,160 cm,45 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.5555555555555554,0.28125,,,,,,,underweight,short,very_lean,lean,240.0,54.0,31.640624999999993,5.333333333333333,0.421875,,,,1
distance_running,165.0,50.0,18.36547291092746,DISTANCE RUNNER,Sifan Hassan,165 cm,50 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,3.3,0.30303030303030304,,,,,,,underweight,medium,very_lean,lean,247.5,60.0,33.057851239669425,4.949999999999999,0.4545454545454546,,,,1
