sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,weight_height_ratio,height_weight_ratio,arm_span_ratio,arm_span_excess,leg_length_ratio,leg_length_excess,torso_length_ratio,torso_length_excess,upper_lower_ratio,hand_length_ratio,hand_shape_ratio,hand_area,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_hand_length_ratio,weighted_upper_lower_ratio,cluster,pca_1,pca_2,tsne_1,tsne_2
distance_running,170.0,57.0,19.723183391003463,DISTANCE RUNNER,Geoffrey Kamworor,170 cm,57 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3352941176470588,2.982456140350877,,,,,,,,,,,136.0,28.5,7.889273356401386,,,,,,4,-1.3678010218209355,-3.2252062979812357,-11.0473175,1.8176436
distance_running,170.0,62.0,21.453287197231838,DISTANCE RUNNER,Bernard Lagat,170 cm,62 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.36470588235294116,2.7419354838709675,,,,,,,,,,,136.0,31.0,8.581314878892735,,,,,,4,-1.0271292852698009,-2.8823901184625194,-10.191867,2.0520966
distance_running,,,,DISTANCE RUNNER,Eliud Kipchoge 2,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,5,-11.302428569599181,4.2993194093945934,-18.84331,2.151044
distance_running,168.0,,,DISTANCE RUNNER,Abel Kirui,168 cm,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,134.4,,,,,,,,1,-10.371642618163701,2.725685104150936,-20.734552,1.8736212
distance_running,,,,DISTANCE RUNNER,Frank Elite,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,5,-11.302428569599181,4.299319409394584,-18.84331,2.151044
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Yuki Kawauchi,157 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.29936305732484075,3.3404255319148937,,,,,,,,,,,125.60000000000001,23.5,7.627084263053267,,,,,,4,-1.6095620156004093,-3.623702708746241,-11.3106785,0.9540337
distance_running,,,,DISTANCE RUNNER,Shura Kitata,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,5,-11.30242856959918,4.299319409394592,-18.84331,2.151044
distance_running,178.0,63.0,19.883853048857468,DISTANCE RUNNER,Galen Rupp,178 cm,63 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3539325842696629,2.8253968253968256,,,,,,,,,,,142.4,31.5,7.953541219542988,,,,,,4,-1.2278455607849699,-3.081617569207957,-10.663745,2.2508607
distance_running,,,,DISTANCE RUNNER,Stephen Kiprop,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,5,-11.30242856959918,4.299319409394591,-18.84331,2.151044
distance_running,160.0,50.0,19.531249999999996,DISTANCE RUNNER,Kiplimo Jacob,160 cm,50 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3125,3.2,,,,,,,,,,,128.0,25.0,7.812499999999999,,,,,,4,-1.5112818506805747,-3.443640978628082,-11.08227,1.077539
