Player,Pos,Height,Weight,Wingspan,Hand Length,Hand Width
Izan Almansa,C,6'9.25",220.4 lbs,7'1.75",9.25,9.50
Neoklis Avdalas,SF,6'7.50",197.8 lbs,6'9.00",8.25,9.75
Ace Bailey,SF-PF,6'7.50",202.8 lbs,7'0.50",8.50,9.00
Tamar Bates,SG,6'3.75",191.4 lbs,6'10.25",9.75,9.00
Joan Beringer,C,6'11.00",234.8 lbs,7'4.50",9.75,10.00
Koby Brea,SG,6'5.75",201.8 lbs,6'5.25",8.50,9.25
Johni Broome,SF-PF,6'9.25",249.4 lbs,7'0.25",9.25,10.25
Carter Bryant,SF-PF,6'6.50",214.8 lbs,6'11.75",8.50,9.50
Miles Byrd,SG,6'4.75",181.8 lbs,6'10.00",8.75,9.25
Walter Clayton Jr.,PG-SG,6'2.00",199.0 lbs,6'4.00",8.25,9.75
Nique Clifford,PG-SG,6'5.25",202.0 lbs,6'8.00",8.25,8.50
Alex Condon,SF-PF,6'11.25",221.8 lbs,7'0.75",9.25,9.75
Cedric Coward,PG-SG,6'5.25",213.0 lbs,7'2.25",9.25,10.00
Egor Demin,PG-SG,6'8.25",199.2 lbs,6'10.25",8.25,9.25
Eric Dixon,PF,6'7.50",258.6 lbs,6'11.50",8.75,10.00
VJ Edgecombe,PG-SG,6'4.00",193.2 lbs,6'7.50",8.50,9.50
Noa Essengue,PF,6'10.00",204.0 lbs,7'1.00",8.97,10.62
Jeremiah Fears,PG-SG,6'2.50",179.6 lbs,6'5.25",8.25,9.25
Cooper Flagg,SF-PF,6'7.75",221.0 lbs,7'0.00",8.75,9.75
Boogie Fland,PG,6'2.00",172.4 lbs,6'6.00",8.50,9.00
Rasheer Fleming,SF-PF,6'8.25",232.4 lbs,7'5.25",9.50,9.50
Vladislav Goldin,C,7'0.00",253.4 lbs,7'5.25",9.50,11.75
Hugo González,SF,6'6.25",222.7 lbs,6'10.75",10.25,9.00
PJ Haggerty,SG,6'2.25",189.4 lbs,6'6.50",8.50,9.50
Dylan Harper,PG-SG,6'4.50",213.2 lbs,6'10.50",9.25,9.25
Ben Henshall,SG,6'5.50",193.4 lbs,6'6.50",8.00,8.00
Kasparas Jakucionis,PG-SG,6'4.75",205.2 lbs,6'7.75",8.50,9.75
Sion James,SG,6'4.50",217.6 lbs,6'6.50",8.25,9.25
Tre Johnson,PG-SG,6'4.75",190.4 lbs,6'10.25",8.50,8.00
Adou Thiero,PG-SG,6'6.25",218.4 lbs,7'0.00",9.00,10.25
