Player,Pos,Height,Weight,Sex,Arm Span,Leg Length,Torso Length
Simone Biles,Gymnast,142 cm,47.0 kg,F,,,
Rebeca Andrade,Gymnast,151 cm,,F,,,
Sunisa Lee,Gymnast,152 cm,,F,,,
Jade Carey,Gymnast,157 cm,,F,,,
Jessica Gadirova,Gymnast,152 cm,,F,,,
Viktoria Listunova,Gymnast,160 cm,,F,,,
Angelina Melnikova,Gymnast,152 cm,,F,,,
Alice D'Amato,Gymnast,150 cm,,F,,,
Asia D'Amato,Gymnast,165 cm,,F,,,
Larisa Iordache,Gymnast,165 cm,,F,,,
Kōhei Uchimura,Gymnast,162 cm,54.0 kg,M,,,
Daiki Hashimoto,Gymnast,166 cm,,M,,,
Nikita Nagornyy,Gymnast,168 cm,,M,,,
Artur Dalaloyan,Gymnast,162 cm,,M,,,
Carlos Yulo,Gymnast,150 cm,,M,,,
Max Whitlock,Gymnast,160 cm,,M,,,
Oleg Verniaiev,Gymnast,164 cm,,M,,,
Sam Mikulak,Gymnast,170 cm,,M,,,
Yul Moldauer,Gymnast,170 cm,,M,,,
David Belyavskiy,Gymnast,170 cm,,M,,,
Epke Zonderland,Gymnast,169 cm,,M,,,
Diego Hypólito,Gymnast,168 cm,,M,,,
Morgan Hurd,Gymnast,160 cm,,F,,,
Shilese Jones,Gymnast,157 cm,,F,,,
Giulia Steingruber,Gymnast,165 cm,,F,,,
Sanne Wevers,Gymnast,164 cm,,F,,,
Aly Raisman,Gymnast,163 cm,,F,,,
Oksana Chusovitina,Gymnast,160 cm,,F,,,
Giarnni Regini-Moran,Gymnast,165 cm,,M,,,
