Player,Pos,Height,Weight,Sex,Arm Span,Leg Length,Torso Length
Steve Redgrave,Rower,195 cm,100 kg,M,,,
Matthew Pinsent,Rower,196 cm,98 kg,M,,,
Mahe Drysdale,Rower,200 cm,99 kg,M,,,
Olaf Tufte,Rower,193 cm,93 kg,M,,,
Hamish Bond,Rower,189 cm,88 kg,M,,,
Eric Murray,Rower,198 cm,100 kg,M,,,
Georgina Rowe,Rower,186 cm,76 kg,F,,,
Kim Brennan,Rower,181 cm,74 kg,F,,,
Katherine Grainger,Rower,182 cm,70 kg,F,,,
Helen Glover,Rower,178 cm,70 kg,F,,,
Heather Stanning,Rower,178 cm,70 kg,F,,,
Drew Ginn,Rower,193 cm,90 kg,M,,,
James Cracknell,Rower,193 cm,94 kg,M,,,
Valent Sinković,Rower,193 cm,91 kg,M,,,
Martin Sinković,Rower,190 cm,89 kg,M,,,
Ondřej Synek,Rower,200 cm,103 kg,M,,,
Damir Martin,Rower,189 cm,90 kg,M,,,
Fintan McCarthy,Rower,177 cm,72 kg,M,,,
Paul O'Donovan,Rower,177 cm,72 kg,M,,,
Zoe Stevenson,Rower,176 cm,69 kg,F,,,
Emma Twigg,Rower,179 cm,80 kg,F,,,
Grace Prendergast,Rower,179 cm,74 kg,F,,,
Kerri Gowler,Rower,182 cm,75 kg,F,,,
Lucerne Rotsee,Rower,190 cm,87 kg,M,,,
Andrew Triggs Hodge,Rower,191 cm,88 kg,M,,,
Pete Reed,Rower,198 cm,98 kg,M,,,
Jurgen Grobler,Rower,185 cm,83 kg,M,,,
Sarah Cook,Rower,183 cm,75 kg,F,,,
Viorica Neculai,Rower,177 cm,76 kg,F,,,
Grace Luczak,Rower,191 cm,77 kg,F,,,
