Player,Pos,Height,Weight,Sex,Arm Span,Leg Length,Torso Length
Lionel Messi,Soccer,170 cm,72 kg,M,,,
Cristiano Ronaldo,Soccer,187 cm,84 kg,M,,,
Kylian Mbappé,Soccer,178 cm,73 kg,M,,,
Erling Haaland,Soccer,195 cm,94 kg,M,,,
Kevin De Bruyne,Soccer,181 cm,70 kg,M,,,
Neymar Jr.,Soccer,175 cm,68 kg,M,,,
Mohamed Salah,Soccer,175 cm,71 kg,M,,,
Robert Lewandowski,Soccer,185 cm,81 kg,M,,,
Harry Kane,Soccer,188 cm,86 kg,M,,,
Jude Bellingham,Soccer,186 cm,75 kg,M,,,
Phil Foden,Soccer,171 cm,70 kg,M,,,
Bernardo Silva,Soccer,173 cm,64 kg,M,,,
Vinícius Júnior,Soccer,176 cm,73 kg,M,,,
Sadio Mané,Soccer,175 cm,69 kg,M,,,
Raheem Sterling,Soccer,170 cm,69 kg,M,,,
Romelu Lukaku,Soccer,191 cm,94 kg,M,,,
Antoine Griezmann,Soccer,176 cm,73 kg,M,,,
Toni Kroos,Soccer,183 cm,76 kg,M,,,
N'Golo Kanté,Soccer,168 cm,70 kg,M,,,
Joshua Kimmich,Soccer,177 cm,75 kg,M,,,
Virgil van Dijk,Soccer,193 cm,92 kg,M,,,
Manuel Neuer,Soccer,193 cm,92 kg,M,,,
Alisson Becker,Soccer,191 cm,91 kg,M,,,
Marc-André ter Stegen,Soccer,187 cm,85 kg,M,,,
Victor Osimhen,Soccer,185 cm,78 kg,M,,,
Luka Modrić,Soccer,172 cm,66 kg,M,,,
Sergio Ramos,Soccer,184 cm,82 kg,M,,,
Karim Benzema,Soccer,185 cm,81 kg,M,,,
Paulo Dybala,Soccer,177 cm,75 kg,M,,,
Zlatan Ibrahimović,Soccer,195 cm,95 kg,M,,,
