Player,Pos,Height,Weight,Sex,Arm Span,Leg Length,Torso Length
Novak Djokovic,Tennis,188 cm,77 kg,M,,,
Carlos Alcaraz,Tennis,185 cm,73 kg,M,,,
Jannik Sinner,Tennis,185 cm,79 kg,M,,,
Daniil Medvedev,Tennis,198 cm,83 kg,M,,,
Alexander Zverev,Tennis,198 cm,90 kg,M,,,
Rafael Nadal,Tennis,185 cm,85 kg,M,,,
Roger Federer,Tennis,185 cm,85 kg,M,,,
Stefanos Tsitsipas,Tennis,193 cm,91 kg,M,,,
Andrey Rublev,Tennis,188 cm,79 kg,M,,,
Casper Ruud,Tennis,185 cm,77 kg,M,,,
Taylor Fritz,Tennis,188 cm,86 kg,M,,,
Frances Tiafoe,Tennis,185 cm,85 kg,M,,,
Nick Kyrgios,Tennis,193 cm,85 kg,M,,,
Matteo Berrettini,Tennis,196 cm,95 kg,M,,,
Diego Schwartzman,Tennis,170 cm,64 kg,M,,,
Roberto Bautista Agut,Tennis,183 cm,76 kg,M,,,
Grigor Dimitrov,Tennis,191 cm,80 kg,M,,,
Marin Čilić,Tennis,198 cm,86 kg,M,,,
John Isner,Tennis,208 cm,109 kg,M,,,
Reilly Opelka,Tennis,211 cm,109 kg,M,,,
Iga Świątek,Tennis,176 cm,63 kg,F,,,
Aryna Sabalenka,Tennis,183 cm,77 kg,F,,,
Ons Jabeur,Tennis,167 cm,60 kg,F,,,
Coco Gauff,Tennis,180 cm,65 kg,F,,,
Elena Rybakina,Tennis,183 cm,70 kg,F,,,
Barbora Krejčíková,Tennis,181 cm,70 kg,F,,,
Jessica Pegula,Tennis,175 cm,68 kg,F,,,
Simona Halep,Tennis,168 cm,59 kg,F,,,
Petra Kvitová,Tennis,182 cm,70 kg,F,,,
Naomi Osaka,Tennis,180 cm,69 kg,F,,,
