Player,Pos,Height,Weight,Sex,Arm Span,Leg Length,Torso Length
Usain Bolt,Sprinter,195 cm,94 kg,M,,,
Yohan Blake,Sprinter,180 cm,90 kg,M,,,
Justin Gatlin,Sprinter,185 cm,83 kg,M,,,
Tyson Gay,Sprinter,178 cm,83 kg,M,,,
Christian Coleman,Sprinter,176 cm,73 kg,M,,,
Trayvon Bromell,Sprinter,173 cm,75 kg,M,,,
Fred Kerley,Sprinter,188 cm,86 kg,M,,,
Noah Lyles,Sprinter,183 cm,79 kg,M,,,
Andre De Grasse,Sprinter,176 cm,75 kg,M,,,
Yuki Koike,Sprinter,175 cm,,M,,,
Letsile Tebogo,Sprinter,183 cm,,M,,,
Erriyon Knighton,Sprinter,180 cm,,M,,,
Asafa Powell,Sprinter,188 cm,88 kg,M,,,
Kenny Bednarek,Sprinter,183 cm,78 kg,M,,,
Shelly-Ann Fraser-Pryce,Sprinter,152 cm,52 kg,F,,,
Elaine Thompson-Herah,Sprinter,168 cm,63 kg,F,,,
Dina Asher-Smith,Sprinter,167 cm,64 kg,F,,,
Sha'Carri Richardson,Sprinter,170 cm,60 kg,F,,,
Marie-Josee Ta Lou,Sprinter,166 cm,58 kg,F,,,
Shelly-Ann Fraser,Sprinter,152 cm,52 kg,F,,,
Carmelita Jeter,Sprinter,165 cm,59 kg,F,,,
Blessing Okagbare,Sprinter,168 cm,60 kg,F,,,
Tori Bowie,Sprinter,168 cm,60 kg,F,,,
Merlene Ottey,Sprinter,170 cm,60 kg,F,,,
Luminosa Bogliolo,Hurdler,,,F,,,
Tobi Amusan,Hurdler,170 cm,64 kg,F,,,
Julien Alfred,Sprinter,168 cm,,F,,,
Reece Prescod,Sprinter,183 cm,77 kg,M,,,
Christian Malcolm,Sprinter,178 cm,,M,,,
