Player,Pos,Height,Weight,Sex,Arm Span,Leg Length,Torso Length
Lasha Talakhadze,Weightlifter,197 cm,183 kg,M,,,
Behdad Salimi,Weightlifter,197 cm,,M,,,
Hossein Rezazadeh,Weightlifter,186 cm,152 kg,M,,,
Lü Xiaojun,Weightlifter,172 cm,81 kg,M,,,
Ilya Ilyin,Weightlifter,174 cm,104 kg,M,,,
Naim Süleymanoğlu,Weightlifter,147 cm,62 kg,M,,,
Halil Mutlu,Weightlifter,150 cm,56 kg,M,,,
Shi Zhiyong,Weightlifter,168 cm,73 kg,M,,,
Kianoush Rostami,Weightlifter,175 cm,85 kg,M,,,
Akakios Kakiasvilis,Weightlifter,180 cm,93 kg,M,,,
Pyrros Dimas,Weightlifter,173 cm,85 kg,M,,,
Leonid Taranenko,Weightlifter,180 cm,110 kg,M,,,
Yurik Vardanyan,Weightlifter,170 cm,82 kg,M,,,
Vasily Alekseyev,Weightlifter,185 cm,160 kg,M,,,
Kakhi Kakhiashvili,Weightlifter,180 cm,94 kg,M,,,
Andrei Aramnau,Weightlifter,182 cm,105 kg,M,,,
Karlos Nasar,Weightlifter,174 cm,81 kg,M,,,
Daniyar Ismayilov,Weightlifter,165 cm,69 kg,M,,,
Clarence Cummings Jr.,Weightlifter,170 cm,73 kg,M,,,
Mohamed Ehab,Weightlifter,167 cm,77 kg,M,,,
Chen Lijun,Weightlifter,168 cm,67 kg,M,,,
Valentin Hristov,Weightlifter,170 cm,69 kg,M,,,
Georgi Asanidze,Weightlifter,170 cm,77 kg,M,,,
Anatoly Pisarenko,Weightlifter,181 cm,125 kg,M,,,
Hristo Plachkov,Weightlifter,175 cm,85 kg,M,,,
Oleg Chen,Weightlifter,170 cm,69 kg,M,,,
Tigran Martirosyan,Weightlifter,164 cm,69 kg,M,,,
Yury Zakharevich,Weightlifter,181 cm,110 kg,M,,,
Blagoy Blagoev,Weightlifter,168 cm,82 kg,M,,,
Ivan Ivanov,Weightlifter,160 cm,52 kg,M,,,
