sport,height_cm,weight_kg,bmi,position,Player,height,weight,Sex,Arm Span,Leg Length,Torso Length
gymnastics,142.0,47.0,23.30886728823646,GYMNAST,Simone Biles,142 cm,47.0 kg,F,,,
gymnastics,151.0,,,GYMNAST,Rebeca Andrade,151 cm,,F,,,
gymnastics,152.0,,,GYMNAST,Sunisa Lee,152 cm,,F,,,
gymnastics,157.0,,,GYMNAST,Jade Carey,157 cm,,F,,,
gymnastics,152.0,,,GYMNAST,Jessica Gadirova,152 cm,,F,,,
gymnastics,160.0,,,GYMNAST,Viktoria Listunova,160 cm,,F,,,
gymnastics,152.0,,,GYMNAST,Angelina Melnikova,152 cm,,F,,,
gymnastics,150.0,,,GYMNAST,Alice D'Amato,150 cm,,F,,,
gymnastics,165.0,,,GYMNAST,Asia D'Amato,165 cm,,F,,,
gymnastics,165.0,,,GYMNAST,Larisa Iordache,165 cm,,F,,,
gymnastics,162.0,54.0,20.576131687242793,GYMNAST,Kōhei Uchimura,162 cm,54.0 kg,M,,,
gymnastics,166.0,,,GYMNAST,Daiki Hashimoto,166 cm,,M,,,
gymnastics,168.0,,,GYMNAST,Nikita Nagornyy,168 cm,,M,,,
gymnastics,162.0,,,GYMNAST,Artur Dalaloyan,162 cm,,M,,,
gymnastics,150.0,,,GYMNAST,Carlos Yulo,150 cm,,M,,,
gymnastics,160.0,,,GYMNAST,Max Whitlock,160 cm,,M,,,
gymnastics,164.0,,,GYMNAST,Oleg Verniaiev,164 cm,,M,,,
gymnastics,170.0,,,GYMNAST,Sam Mikulak,170 cm,,M,,,
gymnastics,170.0,,,GYMNAST,Yul Moldauer,170 cm,,M,,,
gymnastics,170.0,,,GYMNAST,David Belyavskiy,170 cm,,M,,,
gymnastics,169.0,,,GYMNAST,Epke Zonderland,169 cm,,M,,,
gymnastics,168.0,,,GYMNAST,Diego Hypólito,168 cm,,M,,,
gymnastics,160.0,,,GYMNAST,Morgan Hurd,160 cm,,F,,,
gymnastics,157.0,,,GYMNAST,Shilese Jones,157 cm,,F,,,
gymnastics,165.0,,,GYMNAST,Giulia Steingruber,165 cm,,F,,,
gymnastics,164.0,,,GYMNAST,Sanne Wevers,164 cm,,F,,,
gymnastics,163.0,,,GYMNAST,Aly Raisman,163 cm,,F,,,
gymnastics,160.0,,,GYMNAST,Oksana Chusovitina,160 cm,,F,,,
gymnastics,165.0,,,GYMNAST,Giarnni Regini-Moran,165 cm,,M,,,
