sport,height_cm,weight_kg,bmi,position,Player,height,weight,Sex,Arm Span,Leg Length,Torso Length
rowing,195.0,100.0,26.298487836949377,ROWER,Steve Redgrave,195 cm,100 kg,M,,,
rowing,196.0,98.0,25.510204081632654,ROWER,Matthew Pinsent,196 cm,98 kg,M,,,
rowing,200.0,99.0,24.75,ROWER,Mahe Drysdale,200 cm,99 kg,M,,,
rowing,193.0,93.0,24.967113211092915,ROWER,Olaf Tufte,193 cm,93 kg,M,,,
rowing,189.0,88.0,24.635368550712467,ROWER,Hamish Bond,189 cm,88 kg,M,,,
rowing,198.0,100.0,25.507601265177023,ROWER,Eric Murray,198 cm,100 kg,M,,,
rowing,186.0,76.0,21.967857555786793,ROWER,Georgina Rowe,186 cm,76 kg,F,,,
rowing,181.0,74.0,22.587833094227893,ROWER,Kim Brennan,181 cm,74 kg,F,,,
rowing,182.0,70.0,21.132713440405748,ROWER,Katherine Grainger,182 cm,70 kg,F,,,
rowing,178.0,70.0,22.093170054286073,ROWER,Helen Glover,178 cm,70 kg,F,,,
rowing,178.0,70.0,22.093170054286073,ROWER,Heather Stanning,178 cm,70 kg,F,,,
rowing,193.0,90.0,24.161722462347985,ROWER,Drew Ginn,193 cm,90 kg,M,,,
rowing,193.0,94.0,25.235576794007894,ROWER,James Cracknell,193 cm,94 kg,M,,,
rowing,193.0,91.0,24.43018604526296,ROWER,Valent Sinković,193 cm,91 kg,M,,,
rowing,190.0,89.0,24.653739612188367,ROWER,Martin Sinković,190 cm,89 kg,M,,,
rowing,200.0,103.0,25.75,ROWER,Ondřej Synek,200 cm,103 kg,M,,,
rowing,189.0,90.0,25.195263290501387,ROWER,Damir Martin,189 cm,90 kg,M,,,
rowing,177.0,72.0,22.981901752370007,ROWER,Fintan McCarthy,177 cm,72 kg,M,,,
rowing,177.0,72.0,22.981901752370007,ROWER,Paul O'Donovan,177 cm,72 kg,M,,,
rowing,176.0,69.0,22.275309917355372,ROWER,Zoe Stevenson,176 cm,69 kg,F,,,
rowing,179.0,80.0,24.968009737523797,ROWER,Emma Twigg,179 cm,80 kg,F,,,
rowing,179.0,74.0,23.095409007209515,ROWER,Grace Prendergast,179 cm,74 kg,F,,,
rowing,182.0,75.0,22.6421929718633,ROWER,Kerri Gowler,182 cm,75 kg,F,,,
rowing,190.0,87.0,24.099722991689752,ROWER,Lucerne Rotsee,190 cm,87 kg,M,,,
rowing,191.0,88.0,24.12214577451276,ROWER,Andrew Triggs Hodge,191 cm,88 kg,M,,,
rowing,198.0,98.0,24.997449239873482,ROWER,Pete Reed,198 cm,98 kg,M,,,
rowing,185.0,83.0,24.251278305332356,ROWER,Jurgen Grobler,185 cm,83 kg,M,,,
rowing,183.0,75.0,22.395413419331717,ROWER,Sarah Cook,183 cm,75 kg,F,,,
rowing,177.0,76.0,24.258674071946118,ROWER,Viorica Neculai,177 cm,76 kg,F,,,
rowing,191.0,77.0,21.106877552698666,ROWER,Grace Luczak,191 cm,77 kg,F,,,
