sport,height_cm,weight_kg,bmi,position,Player,height,weight,Sex,Arm Span,Leg Length,Torso Length
weightlifting,197.0,183.0,47.15401066762864,WEIGHTLIFTER,Lasha Talakhadze,197 cm,183 kg,M,,,
weightlifting,197.0,,,WEIGHTLIFTER,Behdad Salimi,197 cm,,M,,,
weightlifting,186.0,152.0,43.935715111573586,WEIGHTLIFTER,Hossein Rezazadeh,186 cm,152 kg,M,,,
weightlifting,172.0,81.0,27.379664683612766,WEIGHTLIFTER,Lü Xiaojun,172 cm,81 kg,M,,,
weightlifting,174.0,104.0,34.35064077156824,WEIGHTLIFTER,Ilya Ilyin,174 cm,104 kg,M,,,
weightlifting,147.0,62.0,28.691748808366885,WEIGHTLIFTER,Naim Süleymanoğlu,147 cm,62 kg,M,,,
weightlifting,150.0,56.0,24.88888888888889,WEIGHTLIFTER,Halil Mutlu,150 cm,56 kg,M,,,
weightlifting,168.0,73.0,25.86451247165533,WEIGHTLIFTER,Shi Zhiyong,168 cm,73 kg,M,,,
weightlifting,175.0,85.0,27.755102040816325,WEIGHTLIFTER,Kianoush Rostami,175 cm,85 kg,M,,,
weightlifting,180.0,93.0,28.703703703703702,WEIGHTLIFTER,Akakios Kakiasvilis,180 cm,93 kg,M,,,
weightlifting,173.0,85.0,28.40054796351365,WEIGHTLIFTER,Pyrros Dimas,173 cm,85 kg,M,,,
weightlifting,180.0,110.0,33.95061728395061,WEIGHTLIFTER,Leonid Taranenko,180 cm,110 kg,M,,,
weightlifting,170.0,82.0,28.373702422145332,WEIGHTLIFTER,Yurik Vardanyan,170 cm,82 kg,M,,,
weightlifting,185.0,160.0,46.74945215485756,WEIGHTLIFTER,Vasily Alekseyev,185 cm,160 kg,M,,,
weightlifting,180.0,94.0,29.012345679012345,WEIGHTLIFTER,Kakhi Kakhiashvili,180 cm,94 kg,M,,,
weightlifting,182.0,105.0,31.69907016060862,WEIGHTLIFTER,Andrei Aramnau,182 cm,105 kg,M,,,
weightlifting,174.0,81.0,26.7538644470868,WEIGHTLIFTER,Karlos Nasar,174 cm,81 kg,M,,,
weightlifting,165.0,69.0,25.344352617079892,WEIGHTLIFTER,Daniyar Ismayilov,165 cm,69 kg,M,,,
weightlifting,170.0,73.0,25.25951557093426,WEIGHTLIFTER,Clarence Cummings Jr.,170 cm,73 kg,M,,,
weightlifting,167.0,77.0,27.60945175517229,WEIGHTLIFTER,Mohamed Ehab,167 cm,77 kg,M,,,
weightlifting,168.0,67.0,23.738662131519277,WEIGHTLIFTER,Chen Lijun,168 cm,67 kg,M,,,
weightlifting,170.0,69.0,23.87543252595156,WEIGHTLIFTER,Valentin Hristov,170 cm,69 kg,M,,,
weightlifting,170.0,77.0,26.643598615916957,WEIGHTLIFTER,Georgi Asanidze,170 cm,77 kg,M,,,
weightlifting,181.0,125.0,38.15512346997955,WEIGHTLIFTER,Anatoly Pisarenko,181 cm,125 kg,M,,,
weightlifting,175.0,85.0,27.755102040816325,WEIGHTLIFTER,Hristo Plachkov,175 cm,85 kg,M,,,
weightlifting,170.0,69.0,23.87543252595156,WEIGHTLIFTER,Oleg Chen,170 cm,69 kg,M,,,
weightlifting,164.0,69.0,25.654372397382513,WEIGHTLIFTER,Tigran Martirosyan,164 cm,69 kg,M,,,
weightlifting,181.0,110.0,33.576508653582,WEIGHTLIFTER,Yury Zakharevich,181 cm,110 kg,M,,,
weightlifting,168.0,82.0,29.053287981859416,WEIGHTLIFTER,Blagoy Blagoev,168 cm,82 kg,M,,,
weightlifting,160.0,52.0,20.312499999999996,WEIGHTLIFTER,Ivan Ivanov,160 cm,52 kg,M,,,
