sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,height_weight_ratio,weight_height_ratio,arm_span,arm_span_ratio,leg_length,leg_length_ratio,torso_length,torso_length_ratio,size_category,build_category,proportions_category,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_height_weight_ratio,weighted_weight_height_ratio,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_size_category,weighted_build_category,weighted_proportions_category,cluster
distance_running,170.0,57.0,19.723183391003463,DISTANCE RUNNER,Geoffrey Kamworor,170 cm,57 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.982456140350877,0.3352941176470588,,,,,,,1.0,1.0,4.0,170.0,57.0,29.584775086505196,5.964912280701754,0.5029411764705882,,,,1.0,1.0,4.0,0
distance_running,170.0,62.0,21.453287197231838,DISTANCE RUNNER,Bernard Lagat,170 cm,62 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.7419354838709675,0.36470588235294116,,,,,,,1.0,1.0,4.0,170.0,62.0,32.17993079584775,5.483870967741935,0.5470588235294117,,,,1.0,1.0,4.0,0
distance_running,168.0,,,DISTANCE RUNNER,Abel Kirui,168 cm,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Yuki Kawauchi,157 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.3404255319148937,0.29936305732484075,,,,,,,1.0,1.0,4.0,157.0,47.0,28.60156598644975,6.680851063829787,0.44904458598726116,,,,1.0,1.0,4.0,0
distance_running,178.0,63.0,19.883853048857468,DISTANCE RUNNER,Galen Rupp,178 cm,63 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.8253968253968256,0.3539325842696629,,,,,,,2.0,1.0,4.0,178.0,63.0,29.8257795732862,5.650793650793651,0.5308988764044944,,,,2.0,1.0,4.0,0
distance_running,160.0,50.0,19.531249999999996,DISTANCE RUNNER,Kiplimo Jacob,160 cm,50 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.2,0.3125,,,,,,,1.0,1.0,4.0,160.0,50.0,29.296874999999993,6.4,0.46875,,,,1.0,1.0,4.0,0
distance_running,165.0,56.0,20.569329660238754,DISTANCE RUNNER,Kenenisa Bekele,165 cm,56 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.9464285714285716,0.3393939393939394,,,,,,,1.0,1.0,4.0,165.0,56.0,30.853994490358133,5.892857142857143,0.5090909090909091,,,,1.0,1.0,4.0,0
distance_running,176.0,61.0,19.692665289256198,DISTANCE RUNNER,Kelvin Kiptum,176 cm,61 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.8852459016393444,0.3465909090909091,,,,,,,2.0,1.0,4.0,176.0,61.0,29.538997933884296,5.770491803278689,0.5198863636363636,,,,2.0,1.0,4.0,0
distance_running,165.0,56.0,20.569329660238754,DISTANCE RUNNER,Haile Gebrselassie,165 cm,56 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.9464285714285716,0.3393939393939394,,,,,,,1.0,1.0,4.0,165.0,56.0,30.853994490358133,5.892857142857143,0.5090909090909091,,,,1.0,1.0,4.0,0
distance_running,167.0,52.0,18.645344042454013,DISTANCE RUNNER,Eliud Kipchoge,167 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.2115384615384617,0.31137724550898205,,,,,,,1.0,1.0,4.0,167.0,52.0,27.96801606368102,6.423076923076923,0.46706586826347307,,,,1.0,1.0,4.0,0
distance_running,172.0,60.0,20.281233098972418,DISTANCE RUNNER,Wilson Kipsang,172 cm,60 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.8666666666666667,0.3488372093023256,,,,,,,1.0,1.0,4.0,172.0,60.0,30.421849648458625,5.733333333333333,0.5232558139534884,,,,1.0,1.0,4.0,0
distance_running,168.0,54.0,19.13265306122449,DISTANCE RUNNER,Dennis Kimetto,168 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,3.111111111111111,0.32142857142857145,,,,,,,1.0,1.0,4.0,168.0,54.0,28.69897959183674,6.222222222222222,0.4821428571428572,,,,1.0,1.0,4.0,0
distance_running,168.0,,,DISTANCE RUNNER,Muktar Edris,168 cm,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
distance_running,175.0,63.0,20.571428571428573,DISTANCE RUNNER,Mo Farah,175 cm,63 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,2.7777777777777777,0.36,,,,,,,2.0,1.0,4.0,175.0,63.0,30.85714285714286,5.555555555555555,0.54,,,,2.0,1.0,4.0,0
gymnastics,170.0,,,GYMNAST,Sam Mikulak,170 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,170.0,,,,,,,,1.0,,,0
gymnastics,170.0,,,GYMNAST,Yul Moldauer,170 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,170.0,,,,,,,,1.0,,,0
gymnastics,170.0,,,GYMNAST,David Belyavskiy,170 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,170.0,,,,,,,,1.0,,,0
gymnastics,169.0,,,GYMNAST,Epke Zonderland,169 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,169.0,,,,,,,,1.0,,,0
gymnastics,168.0,,,GYMNAST,Diego Hypólito,168 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
gymnastics,165.0,,,GYMNAST,Giarnni Regini-Moran,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,165.0,,,,,,,,1.0,,,0
gymnastics,164.0,,,GYMNAST,Oleg Verniaiev,164 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,164.0,,,,,,,,1.0,,,0
gymnastics,160.0,,,GYMNAST,Max Whitlock,160 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,160.0,,,,,,,,1.0,,,0
gymnastics,162.0,,,GYMNAST,Artur Dalaloyan,162 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,162.0,,,,,,,,1.0,,,0
gymnastics,150.0,,,GYMNAST,Carlos Yulo,150 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,150.0,,,,,,,,1.0,,,0
gymnastics,162.0,54.0,20.576131687242793,GYMNAST,Kōhei Uchimura,162 cm,54.0 kg,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,3.0,0.3333333333333333,,,,,,,1.0,1.0,4.0,162.0,54.0,30.86419753086419,6.0,0.5,,,,1.0,1.0,4.0,0
gymnastics,166.0,,,GYMNAST,Daiki Hashimoto,166 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,166.0,,,,,,,,1.0,,,0
gymnastics,168.0,,,GYMNAST,Nikita Nagornyy,168 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,1.0,,,168.0,,,,,,,,1.0,,,0
rowing,189.0,90.0,25.195263290501387,ROWER,Damir Martin,189 cm,90 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.1,0.47619047619047616,,,,,,,3.0,4.0,2.0,189.0,90.0,37.79289493575208,4.2,0.7142857142857142,,,,3.0,4.0,2.0,0
rowing,177.0,72.0,22.981901752370007,ROWER,Fintan McCarthy,177 cm,72 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.4583333333333335,0.4067796610169492,,,,,,,2.0,2.0,4.0,177.0,72.0,34.47285262855501,4.916666666666667,0.6101694915254238,,,,2.0,2.0,4.0,0
rowing,177.0,72.0,22.981901752370007,ROWER,Paul O'Donovan,177 cm,72 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.4583333333333335,0.4067796610169492,,,,,,,2.0,2.0,4.0,177.0,72.0,34.47285262855501,4.916666666666667,0.6101694915254238,,,,2.0,2.0,4.0,0
rowing,191.0,88.0,24.12214577451276,ROWER,Andrew Triggs Hodge,191 cm,88 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.1704545454545454,0.4607329842931937,,,,,,,3.0,3.0,2.0,191.0,88.0,36.18321866176914,4.340909090909091,0.6910994764397905,,,,3.0,3.0,2.0,0
rowing,190.0,87.0,24.099722991689752,ROWER,Lucerne Rotsee,190 cm,87 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.1839080459770117,0.45789473684210524,,,,,,,3.0,3.0,2.0,190.0,87.0,36.149584487534625,4.367816091954023,0.6868421052631579,,,,3.0,3.0,2.0,0
rowing,198.0,98.0,24.997449239873482,ROWER,Pete Reed,198 cm,98 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.020408163265306,0.494949494949495,,,,,,,4.0,3.0,1.0,198.0,98.0,37.49617385981023,4.040816326530612,0.7424242424242424,,,,4.0,3.0,1.0,0
rowing,185.0,83.0,24.251278305332356,ROWER,Jurgen Grobler,185 cm,83 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.2289156626506026,0.4486486486486487,,,,,,,3.0,3.0,2.0,185.0,83.0,36.37691745799853,4.457831325301205,0.672972972972973,,,,3.0,3.0,2.0,0
rowing,200.0,103.0,25.75,ROWER,Ondřej Synek,200 cm,103 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,1.941747572815534,0.515,,,,,,,4.0,4.0,1.0,200.0,103.0,38.625,3.883495145631068,0.7725,,,,4.0,4.0,1.0,0
rowing,190.0,89.0,24.653739612188367,ROWER,Martin Sinković,190 cm,89 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.134831460674157,0.46842105263157896,,,,,,,3.0,3.0,2.0,190.0,89.0,36.980609418282555,4.269662921348314,0.7026315789473685,,,,3.0,3.0,2.0,0
rowing,193.0,94.0,25.235576794007894,ROWER,James Cracknell,193 cm,94 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.0531914893617023,0.48704663212435234,,,,,,,3.0,4.0,1.0,193.0,94.0,37.85336519101184,4.1063829787234045,0.7305699481865285,,,,3.0,4.0,1.0,0
rowing,193.0,91.0,24.43018604526296,ROWER,Valent Sinković,193 cm,91 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.120879120879121,0.47150259067357514,,,,,,,3.0,3.0,2.0,193.0,91.0,36.64527906789444,4.241758241758242,0.7072538860103628,,,,3.0,3.0,2.0,0
rowing,195.0,100.0,26.298487836949377,ROWER,Steve Redgrave,195 cm,100 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,1.95,0.5128205128205128,,,,,,,4.0,4.0,1.0,195.0,100.0,39.447731755424066,3.9,0.7692307692307692,,,,4.0,4.0,1.0,0
rowing,196.0,98.0,25.510204081632654,ROWER,Matthew Pinsent,196 cm,98 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.0,0.5,,,,,,,4.0,4.0,1.0,196.0,98.0,38.26530612244898,4.0,0.75,,,,4.0,4.0,1.0,0
rowing,200.0,99.0,24.75,ROWER,Mahe Drysdale,200 cm,99 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.0202020202020203,0.495,,,,,,,4.0,3.0,1.0,200.0,99.0,37.125,4.040404040404041,0.7424999999999999,,,,4.0,3.0,1.0,0
rowing,189.0,88.0,24.635368550712467,ROWER,Hamish Bond,189 cm,88 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.147727272727273,0.4656084656084656,,,,,,,3.0,3.0,2.0,189.0,88.0,36.9530528260687,4.295454545454546,0.6984126984126984,,,,3.0,3.0,2.0,0
rowing,198.0,100.0,25.507601265177023,ROWER,Eric Murray,198 cm,100 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,1.98,0.5050505050505051,,,,,,,4.0,4.0,1.0,198.0,100.0,38.26140189776554,3.96,0.7575757575757576,,,,4.0,4.0,1.0,0
rowing,193.0,93.0,24.967113211092915,ROWER,Olaf Tufte,193 cm,93 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.075268817204301,0.48186528497409326,,,,,,,3.0,3.0,1.0,193.0,93.0,37.450669816639376,4.150537634408602,0.7227979274611399,,,,3.0,3.0,1.0,0
rowing,193.0,90.0,24.161722462347985,ROWER,Drew Ginn,193 cm,90 kg,,,,rowing.csv,2025-09-13T21:48:26.830914,M,,,,,,2.1444444444444444,0.46632124352331605,,,,,,,3.0,3.0,2.0,193.0,90.0,36.24258369352198,4.288888888888889,0.6994818652849741,,,,3.0,3.0,2.0,0
soccer,193.0,92.0,24.69864962817794,SOCCER,Manuel Neuer,193 cm,92 kg,,,,soccer.csv,2025-09-13T21:48:26.832929,M,,,,,,2.097826086956522,0.47668393782383417,,,,,,,3.0,3.0,1.0,193.0,92.0,37.047974442266906,4.195652173913044,0.7150259067357513,,,,3.0,3.0,1.0,0
soccer,183.0,76.0,22.694018931589476,SOCCER,Toni Kroos,183 cm,76 kg,,,,soccer.csv,2025-09-13T21:48:26.832929,M,,,,,,2.4078947368421053,0.41530054644808745,,,,,,,2.0,2.0,3.0,183.0,76.0,34.04102839738421,4.815789473684211,0.6229508196721312,,,,2.0,2.0,3.0,0
