sport,sex,height_cm,weight_kg,cluster_women,cluster_men,cluster_combined,dominant_sport_women,dominant_sport_men,dominant_sport_combined
basketball,,205.74,99.9716768,,,4.0,,,basketball
basketball,,198.12,99.0644928,,,4.0,,,basketball
basketball,,193.04,86.3639168,,,3.0,,,swimming
basketball,,193.04,98.7016192,,,4.0,,,basketball
basketball,,193.04,93.0770784,,,4.0,,,basketball
basketball,,195.58,87.7246928,,,4.0,,,basketball
basketball,,187.96,85.9103248,,,3.0,,,swimming
basketball,,198.12,101.0149384,,,4.0,,,basketball
basketball,,213.36,114.9402128,,,4.0,,,basketball
basketball,,203.2,105.4147808,,,4.0,,,basketball
basketball,,187.96,78.1992608,,,3.0,,,swimming
basketball,,200.66,100.243832,,,4.0,,,basketball
basketball,,187.96,81.4651232,,,3.0,,,swimming
basketball,,208.28,92.532768,,,4.0,,,basketball
basketball,,193.04,87.6339744,,,3.0,,,swimming
basketball,,193.04,96.7058144,,,4.0,,,basketball
basketball,,203.2,90.3555264,,,4.0,,,basketball
basketball,,195.58,96.615096,,,4.0,,,basketball
basketball,,210.82,100.6067056,,,4.0,,,basketball
basketball,,195.58,91.625584,,,4.0,,,basketball
basketball,,187.96,90.264808,,,3.0,,,swimming
basketball,,193.04,82.46302560000001,,,3.0,,,swimming
basketball,,198.12,97.4315616,,,4.0,,,basketball
basketball,,205.74,113.1258448,,,4.0,,,basketball
basketball,,195.58,91.5348656,,,4.0,,,basketball
basketball,,210.82,106.5034016,,,4.0,,,basketball
basketball,,190.5,86.8175088,,,3.0,,,swimming
basketball,,200.66,91.9884576,,,4.0,,,basketball
basketball,,200.66,89.7204976,,,4.0,,,basketball
basketball,,200.66,117.2988912,,,4.0,,,basketball
basketball_test_missing,,208.28,99.79024,,,4.0,,,basketball
basketball_test_missing,,189.41858050811635,91.45683280301408,,,3.0,,,swimming
basketball_test_missing,,203.2,72.92157306878607,,,3.0,,,swimming
basketball_test_missing,,187.96,81.64656,,,3.0,,,swimming
basketball_test_missing,,180.23387186711523,113.398,,,0.0,,,weightlifting
distance_running,F,191.6023644304959,72.87897307366046,2.0,,3.0,rowing,,swimming
distance_running,F,165.0,52.0,1.0,,1.0,track_field,,distance_running
distance_running,F,170.0,54.0,1.0,,1.0,track_field,,distance_running
distance_running,F,204.2638254881541,85.91828301376411,2.0,,4.0,rowing,,basketball
distance_running,M,170.0,57.0,,0.0,1.0,,weightlifting,distance_running
distance_running,M,170.0,62.0,,0.0,1.0,,weightlifting,distance_running
distance_running,M,178.84687488063318,46.20768268628522,,0.0,1.0,,weightlifting,distance_running
distance_running,M,168.0,49.67828258819611,,0.0,1.0,,weightlifting,distance_running
distance_running,M,178.84711235715093,71.09988454450121,,0.0,2.0,,weightlifting,gymnastics
distance_running,M,157.0,47.0,,0.0,1.0,,weightlifting,distance_running
distance_running,F,164.0,48.0,3.0,,1.0,gymnastics,,distance_running
distance_running,F,157.0,47.0,3.0,,1.0,gymnastics,,distance_running
distance_running,M,205.076489455755,62.79856516102584,,1.0,3.0,,volleyball,swimming
distance_running,M,178.0,63.0,,0.0,2.0,,weightlifting,gymnastics
distance_running,M,193.33444505219256,87.25014388165795,,1.0,3.0,,volleyball,swimming
distance_running,F,165.0,52.0,1.0,,1.0,track_field,,distance_running
