sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,weight_height_ratio,height_weight_ratio,arm_span_ratio,leg_length_ratio,torso_length_ratio,cluster
distance_running,165.0,36.4,11.460055096418735,DISTANCE RUNNER,Ruth Chepngetich 2,165 cm,52 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3151515151515151,3.173076923076923,,,,2
distance_running,170.0,37.8,11.211072664359863,DISTANCE RUNNER,Paula Radcliffe 2,170 cm,54 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3176470588235294,3.1481481481481484,,,,2
distance_running,164.0,33.599999999999994,10.707911957168353,DISTANCE RUNNER,Catherine Ndereba,164 cm,48 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.2926829268292683,3.4166666666666665,,,,2
distance_running,157.0,32.9,11.4406263945799,DISTANCE RUNNER,Deena Kastor,157 cm,47 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.29936305732484075,3.3404255319148937,,,,2
distance_running,165.0,36.4,11.460055096418735,DISTANCE RUNNER,Ruth Chepngetich,165 cm,52 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3151515151515151,3.173076923076923,,,,2
distance_running,158.0,32.9,11.29626662393847,DISTANCE RUNNER,Mary Keitany,158 cm,47 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.2974683544303797,3.3617021276595747,,,,2
distance_running,160.0,33.599999999999994,11.249999999999998,DISTANCE RUNNER,Brigid Kosgei,160 cm,48 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3,3.3333333333333335,,,,2
distance_running,170.0,37.8,11.211072664359863,DISTANCE RUNNER,Paula Radcliffe,170 cm,54 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3176470588235294,3.1481481481481484,,,,2
distance_running,160.0,31.499999999999996,10.546874999999998,DISTANCE RUNNER,Yalemzerf Yehualaw,160 cm,45 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.28125,3.5555555555555554,,,,2
distance_running,165.0,35.0,11.019283746556475,DISTANCE RUNNER,Sifan Hassan,165 cm,50 kg,,8.802121212121213,9.511212121212122,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.30303030303030304,3.3,,,,2
gymnastics,128.0,,,GYMNAST,Morgan Hurd,160 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,131.20000000000002,,,GYMNAST,Sanne Wevers,164 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,132.0,,,GYMNAST,Giulia Steingruber,165 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
gymnastics,130.4,,,GYMNAST,Aly Raisman,163 cm,,,8.802121212121213,9.511212121212122,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,0
