sport,height_cm,weight_kg,bmi,position,Player,height,weight,Wingspan,Hand Length,Hand Width,source_file,processed_date,Sex,Arm Span,Leg Length,Torso Length,Spike Reach,Block Reach,weight_height_ratio,height_weight_ratio,arm_span_ratio,arm_span_excess,leg_length_ratio,leg_length_excess,torso_length_ratio,torso_length_excess,upper_lower_ratio,hand_length_ratio,hand_shape_ratio,hand_area,weighted_height_cm,weighted_weight_kg,weighted_bmi,weighted_arm_span_ratio,weighted_leg_length_ratio,weighted_torso_length_ratio,weighted_hand_length_ratio,weighted_upper_lower_ratio,cluster,pca_1,pca_2,tsne_1,tsne_2
distance_running,,,,DISTANCE RUNNER,Tigist Assefa,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.18077216619674,2.027386558784526,36.25199,7.576488
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich 2,165 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3151515151515151,3.173076923076923,,,,,,,,,,,132.0,26.0,7.640036730945823,,,,,,6,-0.326907818058574,-2.54809358099901,9.910103,-7.0844607
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe 2,170 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3176470588235294,3.1481481481481484,,,,,,,,,,,136.0,27.0,7.474048442906576,,,,,,6,-0.33336156486904206,-2.5617424162415654,10.147135,-6.04684
distance_running,,,,DISTANCE RUNNER,Brigid Kosgei 2,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.180772166196741,2.027386558784517,36.25199,7.576488
distance_running,170.0,57.0,19.723183391003463,DISTANCE RUNNER,Geoffrey Kamworor,170 cm,57 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3352941176470588,2.982456140350877,,,,,,,,,,,136.0,28.5,7.889273356401386,,,,,,6,-0.4122424258971603,-2.237916641203963,9.0511265,-5.9483204
distance_running,170.0,62.0,21.453287197231838,DISTANCE RUNNER,Bernard Lagat,170 cm,62 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.36470588235294116,2.7419354838709675,,,,,,,,,,,136.0,31.0,8.581314878892735,,,,,,6,-0.5781944197778709,-1.750290340668756,7.4102383,-5.6954856
distance_running,,,,DISTANCE RUNNER,Eliud Kipchoge 2,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.180772166196743,2.027386558784517,36.25199,7.576488
distance_running,168.0,,,DISTANCE RUNNER,Abel Kirui,168 cm,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,134.4,,,,,,,,1,7.044874929062774,0.5874714643965707,42.511684,7.555757
distance_running,,,,DISTANCE RUNNER,Frank Elite,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.180772166196741,2.0273865587845172,36.25199,7.576488
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Yuki Kawauchi,157 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.29936305732484075,3.3404255319148937,,,,,,,,,,,125.60000000000001,23.5,7.627084263053267,,,,,,6,-0.28169564059070273,-2.7662222436357644,10.620182,-8.021762
distance_running,164.0,48.0,17.846519928613922,DISTANCE RUNNER,Catherine Ndereba,164 cm,48 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.2926829268292683,3.4166666666666665,,,,,,,,,,,131.20000000000002,24.0,7.13860797144557,,,,,,6,-0.2535442179121687,-2.997184493037991,11.476025,-6.9025145
distance_running,157.0,47.0,19.067710657633167,DISTANCE RUNNER,Deena Kastor,157 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.29936305732484075,3.3404255319148937,,,,,,,,,,,125.60000000000001,23.5,7.627084263053267,,,,,,6,-0.28169564059070273,-2.7662222436357644,10.620182,-8.021762
distance_running,,,,DISTANCE RUNNER,Shura Kitata,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.180772166196741,2.0273865587845172,36.25199,7.576488
distance_running,178.0,63.0,19.883853048857468,DISTANCE RUNNER,Galen Rupp,178 cm,63 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3539325842696629,2.8253968253968256,,,,,,,,,,,142.4,31.5,7.953541219542988,,,,,,6,-0.5053726770371965,-2.0209301545591645,8.116809,-5.016478
distance_running,,,,DISTANCE RUNNER,Stephen Kiprop,,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,,,,,,,,,4,9.180772166196741,2.0273865587845172,36.25199,7.576488
distance_running,165.0,52.0,19.100091827364558,DISTANCE RUNNER,Ruth Chepngetich,165 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3151515151515151,3.173076923076923,,,,,,,,,,,132.0,26.0,7.640036730945823,,,,,,6,-0.32690781805856234,-2.5480935809990055,9.910103,-7.0844607
distance_running,158.0,47.0,18.82711103989745,DISTANCE RUNNER,Mary Keitany,158 cm,47 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.2974683544303797,3.3617021276595747,,,,,,,,,,,126.4,23.5,7.53084441595898,,,,,,6,-0.273555926875263,-2.8191755114639037,11.108503,-7.6567235
distance_running,160.0,50.0,19.531249999999996,DISTANCE RUNNER,Kiplimo Jacob,160 cm,50 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3125,3.2,,,,,,,,,,,128.0,25.0,7.812499999999999,,,,,,6,-0.3242521824096328,-2.536744627822046,9.833474,-7.724058
distance_running,165.0,56.0,20.569329660238754,DISTANCE RUNNER,Kenenisa Bekele,165 cm,56 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3393939393939394,2.9464285714285716,,,,,,,,,,,132.0,28.0,8.227731864095501,,,,,,6,-0.44134713273533266,-2.1032139373428427,8.546937,-6.619488
distance_running,176.0,61.0,19.692665289256198,DISTANCE RUNNER,Kelvin Kiptum,176 cm,61 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3465909090909091,2.8852459016393444,,,,,,,,,,,140.8,30.5,7.87706611570248,,,,,,6,-0.4662057887232071,-2.1175721152583797,8.533403,-5.306345
distance_running,160.0,48.0,18.749999999999996,DISTANCE RUNNER,Brigid Kosgei,160 cm,48 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3,3.3333333333333335,,,,,,,,,,,128.0,24.0,7.499999999999999,,,,,,6,-0.2783266706807651,-2.791017047661935,10.8508005,-7.301887
distance_running,170.0,54.0,18.68512110726644,DISTANCE RUNNER,Paula Radcliffe,170 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.3176470588235294,3.1481481481481484,,,,,,,,,,,136.0,27.0,7.474048442906576,,,,,,6,-0.3333615648690454,-2.5617424162415703,10.147135,-6.04684
distance_running,165.0,56.0,20.569329660238754,DISTANCE RUNNER,Haile Gebrselassie,165 cm,56 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3393939393939394,2.9464285714285716,,,,,,,,,,,132.0,28.0,8.227731864095501,,,,,,6,-0.44134713273533266,-2.1032139373428427,8.546937,-6.619488
distance_running,167.0,52.0,18.645344042454013,DISTANCE RUNNER,Eliud Kipchoge,167 cm,52 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.31137724550898205,3.2115384615384617,,,,,,,,,,,133.6,26.0,7.458137616981606,,,,,,6,-0.31059786328484723,-2.646748959096007,10.502974,-6.5872555
distance_running,172.0,60.0,20.281233098972418,DISTANCE RUNNER,Wilson Kipsang,172 cm,60 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.3488372093023256,2.8666666666666667,,,,,,,,,,,137.6,30.0,8.112493239588968,,,,,,6,-0.48110907559360255,-2.0309925165536997,8.164047,-5.7986827
distance_running,168.0,54.0,19.13265306122449,DISTANCE RUNNER,Dennis Kimetto,168 cm,54 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.32142857142857145,3.111111111111111,,,,,,,,,,,134.4,27.0,7.653061224489797,,,,,,6,-0.3500151452558963,-2.4655046043288955,9.595882,-6.5527472
distance_running,160.0,45.0,17.578124999999996,DISTANCE RUNNER,Yalemzerf Yehualaw,160 cm,45 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.28125,3.5555555555555554,,,,,,,,,,,128.0,22.5,7.031249999999999,,,,,,6,-0.23094418101431588,-3.2049072895770823,11.717218,-7.6319227
distance_running,165.0,50.0,18.36547291092746,DISTANCE RUNNER,Sifan Hassan,165 cm,50 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,F,,,,,,0.30303030303030304,3.3,,,,,,,,,,,132.0,25.0,7.346189164370983,,,,,,6,-0.2828486333388776,-2.790410543232571,11.005529,-6.6125164
distance_running,168.0,,,DISTANCE RUNNER,Muktar Edris,168 cm,,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,,,,,,,,,,,,,134.4,,,,,,,,1,7.044874929062774,0.5874714643965709,42.511684,7.555757
distance_running,175.0,63.0,20.571428571428573,DISTANCE RUNNER,Mo Farah,175 cm,63 kg,,,,distance_running.csv,2025-09-13T21:48:26.825280,M,,,,,,0.36,2.7777777777777777,,,,,,,,,,,140.0,31.5,8.22857142857143,,,,,,6,-0.5417042634110782,-1.88701302825819,7.7138433,-5.2492766
gymnastics,170.0,,,GYMNAST,Sam Mikulak,170 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,,,,,85.0,,,,,,,,1,7.055088556944513,0.5886832594140494,41.31603,8.956683
gymnastics,170.0,,,GYMNAST,Yul Moldauer,170 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,,,,,85.0,,,,,,,,1,7.055088556944513,0.5886832594140494,41.31603,8.956683
gymnastics,170.0,,,GYMNAST,David Belyavskiy,170 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,,,,,85.0,,,,,,,,1,7.055088556944513,0.5886832594140494,41.31603,8.956683
gymnastics,169.0,,,GYMNAST,Epke Zonderland,169 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,,,,,84.5,,,,,,,,1,7.067592578175408,0.5971462199985813,41.92072,8.393531
gymnastics,168.0,,,GYMNAST,Diego Hypólito,168 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,M,,,,,,,,,,,,,,,,,,84.0,,,,,,,,1,7.0800965994063025,0.6056091805831131,41.641182,7.9947886
gymnastics,160.0,,,GYMNAST,Morgan Hurd,160 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,,,,80.0,,,,,,,,1,7.180128769253467,0.6733128652593702,40.55691,6.856232
gymnastics,164.0,,,GYMNAST,Sanne Wevers,164 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,,,,82.0,,,,,,,,1,7.130112684329885,0.639461022921242,41.537952,7.100839
gymnastics,165.0,,,GYMNAST,Giulia Steingruber,165 cm,,,,,gymnastics.csv,2025-09-13T21:48:26.827281,F,,,,,,,,,,,,,,,,,,82.5,,,,,,,,1,7.117608663098989,0.6309980623367096,40.458202,8.174075
